block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
4383_20C,crane,22,51,1122,1122.0,21.90459399999999,51.042004000000006,29.813004,149175,95654,2.6347808837890625,0.3714268207550049
4383_20D,crane,22,51,1122,1122.0,21.90115399999999,51.162644,29.812996000000002,137329,89251,2.40228271484375,0.3351442813873291
4383_20E,crane,22,51,1122,1122.0,21.90235899999999,51.038622,29.812996000000002,134972,84889,2.358612060546875,0.36718082427978516
4383_20F,crane,22,51,1122,1122.0,22.029799999999994,51.036004,29.812996000000002,92681,59826,1.7244415283203125,0.22896766662597656
4383_20H,crane,21,51,1071,1071.0,20.66494800000001,51.067002,31.819378999999998,136935,90886,2.3614349365234375,0.3392188549041748
4383_227_000,trestle,16,26,416,416.0,16.311630000000008,26.22169,6.125368,27669,16549,0.4933929443359375,0.06571769714355469
4383_237_000,trestle,16,21,336,336.0,16.311630000000008,21.126401,6.125347,21968,12808,0.392364501953125,0.05313754081726074
4383_627_000,trestle,16,6,96,96.0,16.10270699999998,5.761002000000001,18.893425,13877,8306,0.23583984375,0.04262518882751465
4383_629_000,trestle,22,6,132,132.0,21.701827999999978,5.9570219999999985,10.209017,7600,4489,0.1432647705078125,0.03654003143310547
4383_637_000,trestle,16,6,96,96.0,16.10270699999998,5.761002000000001,18.893425,13683,8204,0.2417449951171875,0.03358888626098633
4383_639_000,trestle,22,6,132,132.0,21.701827999999978,5.957052000000001,10.209110000000003,7691,4548,0.140838623046875,0.022295713424682617
4383_642_000,trestle,21,16,336,336.0,20.834626000000014,15.633438,9.360142,18063,10033,0.374847412109375,0.043473005294799805
4383_652_000,trestle,21,16,336,336.0,20.83340499999997,15.633363000000001,9.360138,17993,9911,0.3688507080078125,0.04158139228820801
4383_661_000,trestle,20,15,300,300.0,19.676422000000002,15.186968,6.789369000000001,11755,6681,0.2403717041015625,0.03530478477478027
4383_671_000,trestle,20,15,300,300.0,19.676422000000002,15.187176,6.78937,11612,6593,0.241455078125,0.0311124324798584
4384_20F,crane,19,51,969,969.0,18.650588999999997,51.041962,31.815997,102703,64944,1.7246246337890625,0.234116792678833
4384_20G,crane,19,51,969,969.0,18.652389000000028,51.070004,31.815879,119582,81049,1.9887847900390625,0.2875063419342041
4384_20H,crane,37,51,1887,1887.0,37.367355,51.035882,22.9905,264153,174047,5.5005645751953125,0.9173228740692139
4384_20K,crane,19,51,969,969.0,19.053206999999986,51.060002,19.058526999999998,7562,4571,0.14447021484375,0.03204178810119629
4384_283_000,trestle,22,13,286,286.0,21.88031000000001,13.187159,6.78603,13930,8201,0.2829132080078125,0.03696632385253906
4384_293_000,trestle,22,13,286,286.0,21.88031000000001,13.187159999999999,6.786029999999999,14033,8198,0.283172607421875,0.03594326972961426
4384_683_000,trestle,22,15,330,330.0,21.865967000000012,15.145712,6.792319000000001,15190,9453,0.3128509521484375,0.037107229232788086
4384_693_000,trestle,22,15,330,330.0,21.865967000000012,15.14571,6.7930199999999985,15303,9488,0.3144073486328125,0.035883188247680664
4385_161_000,trestle,22,16,352,352.0,21.81088,16.391043000000003,10.655520999999998,20333,12692,0.462677001953125,0.051612138748168945
4385_171_000,trestle,22,16,352,352.0,21.81088,16.391,10.655133,19945,12473,0.4532623291015625,0.056229591369628906
4385_20F,crane,3,44,132,132.0,2.7763060000000053,44.312269,29.576622,44332,25094,0.719085693359375,0.09352374076843262
4385_20G,crane,19,51,969,969.0,18.652389000000028,51.070004,31.815879,119549,81049,1.9887542724609375,0.2733039855957031
4385_20H,crane,37,51,1887,1887.0,37.367355,51.035882,22.9905,230588,143286,4.174163818359375,0.6216273307800293
