block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
4386_692_000,trestle,10,5,50,200.0,20.666472999999996,10.093497,5.880005000000002,10556,6361,0.219573974609375,1.4682106971740723
4387_20A,crane,10,26,260,1040.0,20.789246000000006,51.070004,31.811038,129495,78854,2.28350830078125,2.3169515132904053
4387_20B,crane,10,26,260,1040.0,19.207107000000008,51.070004,31.815997,129216,78714,2.160614013671875,2.348546266555786
4387_20C,crane,9,26,234,936.0,18.651474000000007,51.070004,31.815995,138355,85028,2.176300048828125,2.35713529586792
4387_20D,crane,12,26,312,1248.0,23.264466,51.070004,31.815997,122244,77121,2.0645599365234375,2.2881832122802734
4387_20E,crane,10,26,260,1040.0,19.201767000000018,51.070004,31.815997,129224,82316,2.177703857421875,2.2338221073150635
4387_20F,crane,9,26,234,936.0,18.662598000000003,51.070004,31.815997,186146,113526,2.983978271484375,2.6880695819854736
4387_20G,crane,9,26,234,936.0,18.651718000000017,51.070004,31.815997,111910,69894,1.888946533203125,2.0749928951263428
4387_20H,crane,19,26,494,1976.0,37.367355,51.035882,22.9905,229329,141998,4.08709716796875,3.2685420513153076
4387_20K,crane,10,26,260,1040.0,19.46968100000001,51.060002,31.813018,113417,68931,1.9549407958984375,2.189194440841675
4387_242_000,trestle,10,10,100,400.0,20.654968000000054,20.15191,6.130477,24146,15348,0.4660186767578125,1.476168155670166
4387_252_000,trestle,10,7,70,280.0,20.655029000000013,14.599350999999999,6.128269,15657,9909,0.311187744140625,1.3824760913848877
4387_283_000,trestle,11,7,77,308.0,21.879181000000017,13.187178000000001,6.78603,13368,7866,0.2506256103515625,1.4967811107635498
4387_293_000,trestle,11,7,77,308.0,21.878997999999967,13.187179,6.786029999999999,13374,7845,0.250152587890625,1.434615135192871
4387_628_000,trestle,11,3,33,132.0,21.063782000000003,5.7735009999999996,23.795231,15899,10248,0.2894439697265625,1.4861235618591309
4387_629_000,trestle,8,3,24,96.0,16.708054000000004,5.7735009999999996,20.910862,13073,8307,0.241851806640625,1.4815654754638672
4387_638_000,trestle,11,3,33,132.0,21.063782000000003,5.7735009999999996,23.795307,16137,10270,0.28802490234375,1.4797484874725342
4387_639_000,trestle,8,3,24,96.0,16.708054000000004,5.7735009999999996,20.900351,13071,8362,0.2445068359375,1.5178101062774658
4387_644_000,trestle,11,9,99,396.0,21.84609999999998,17.991393,9.335949,22099,12461,0.4629669189453125,1.5261480808258057
4387_654_000,trestle,11,9,99,396.0,21.84609999999998,17.991281,9.335951000000001,21758,12267,0.4543609619140625,1.5077533721923828
4387_664_000,trestle,11,9,99,396.0,22.064666999999986,18.686863000000002,6.817796999999999,14685,8353,0.2851104736328125,1.5986628532409668
4387_674_000,trestle,11,9,99,396.0,22.06478900000002,18.686826,6.817800999999999,14257,8133,0.281402587890625,1.5834767818450928
4387_682_000,trestle,10,5,50,200.0,20.666472999999996,10.093464999999998,5.880232999999999,10612,6390,0.2234649658203125,1.464820384979248
4387_683_000,trestle,11,8,88,352.0,21.865875000000017,15.179106999999998,6.791331999999999,14667,8559,0.2907562255859375,1.4749486446380615
4387_692_000,trestle,10,5,50,200.0,20.666472999999996,10.093497,5.880005000000002,10541,6342,0.219512939453125,1.427501916885376
4387_693_000,trestle,11,8,88,352.0,21.86584499999998,15.179105,6.791337,14622,8486,0.289276123046875,1.561500072479248
4388_126_000,trestle,7,3,21,84.0,14.150002,6.360000000000003,9.312825,5174,3077,0.1015167236328125,1.3862884044647217
4388_136_000,trestle,7,3,21,84.0,14.150002,6.360000999999997,9.313323999999998,5302,3080,0.102264404296875,1.3408567905426025
4388_149_000,trestle,7,2,14,56.0,14.600944999999996,3.532821000000002,15.104118999999997,6626,3855,0.119171142578125,1.3390603065490723
4388_159_000,trestle,7,2,14,56.0,14.600944999999996,3.5328219999999995,15.104110000000002,6418,3679,0.1138763427734375,1.411313772201538
4388_162_000,trestle,11,2,22,88.0,21.850488999999996,3.531549000000002,12.209829000000003,6467,4045,0.1313018798828125,1.44140625
4388_172_000,trestle,11,2,22,88.0,21.850488999999996,3.5315499999999993,12.209829000000003,6570,4072,0.1300811767578125,1.5400731563568115
4388_20F,crane,9,26,234,936.0,18.75624099999999,51.050003000000004,31.816978,190427,118891,3.4013519287109375,2.8540217876434326
4388_20G,crane,10,26,260,1040.0,20.709350999999998,51.050003000000004,31.814998,127540,82324,2.44830322265625,2.438540458679199
4388_20H,crane,17,26,442,1768.0,34.92010500000001,51.038782,21.26036,210009,133091,3.9046478271484375,3.1237478256225586
4388_20K,crane,10,26,260,1040.0,19.398056000000025,51.050003000000004,31.81146,102657,63475,1.8839111328125,2.1469388008117676
4388_20L,crane,10,26,260,1040.0,20.888457999999957,51.050003000000004,31.810999,151788,92656,2.7764129638671875,2.5125036239624023
4388_20Y,crane,49,26,1274,5096.0,98.366012,51.050003000000004,31.817941,709859,459117,13.119354248046875,9.879300594329834
4388_283_000,trestle,11,7,77,308.0,21.878693,13.080044000000001,6.7881149999999995,14012,8211,0.2882843017578125,1.500387191772461
4388_293_000,trestle,11,7,77,308.0,21.878693,13.079815,6.787528000000001,16150,9840,0.324798583984375,1.4381890296936035
4388_663_000,trestle,11,8,88,352.0,21.88330000000002,15.732182,6.814834999999999,15810,9008,0.32159423828125,1.4696736335754395
4388_664_000,trestle,11,9,99,396.0,21.88122500000003,18.564647,6.8223780000000005,15950,9037,0.30194091796875,1.4478590488433838
