block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time,deadline
2534_291_000,trestle,21,13,273,273.0,20.566239,13.36613,8.419942,10772,7007,0.29608154296875,0.0321767330169677,2025-08-06
2534_292_000,trestle,18,15,270,270.0,18.35569799999999,14.822501,8.676509,10828,6591,0.278289794921875,0.0322091579437255,2025-12-24
2534_40B,crane,3,41,123,123.0,2.8000029999999896,40.978002,29.612732,47829,26466,0.8016204833984375,0.0993893146514892,2025-12-03
2534_40C,crane,3,41,123,123.0,2.800003000000004,40.978002,29.613131,47881,26427,0.7947235107421875,0.1024916172027587,2025-12-03
2534_40D,crane,3,41,123,123.0,2.800003000000004,40.97818,29.61312,47788,26405,0.7898406982421875,0.1001105308532714,2025-11-26
2534_66B,crane,52,12,624,624.0,52.00516499999999,12.391007999999998,10.997480999999995,23571,15154,0.445343017578125,0.0614402294158935,2025-11-26
2534_67B,crane,52,12,624,624.0,52.20419299999999,12.39101,10.997484,23376,15095,0.4446258544921875,0.0566222667694091,2025-11-26
2535_21D,crane,21,45,945,945.0,20.56944299999998,44.999722,9.038613,44140,29739,0.994537353515625,0.1147663593292236,2025-09-24
2535_22D,crane,18,36,648,648.0,18.35569799999999,36.373882,9.049559,35801,21869,0.794464111328125,0.0872988700866699,2025-09-24
2535_40D,crane,3,41,123,123.0,2.8001859999999965,40.97818,29.61312,47943,26488,0.7989654541015625,0.1002142429351806,2025-10-29
2543_21D,crane,19,51,969,969.0,19.366150000000005,50.609604,10.453452,51387,34604,1.1926727294921875,0.1429369449615478,2025-10-29
2543_22D,crane,19,45,855,855.0,18.714477000000016,44.993062,10.450368,49433,31170,1.1410369873046875,0.1351988315582275,2025-10-29
2550_223_000,trestle,19,26,494,494.0,19.351837000000003,25.809002,9.047736,29547,19665,0.5214691162109375,0.0650665760040283,2025-12-24
2550_224_000,trestle,19,26,494,494.0,18.65019200000002,25.809004,9.039727,23859,16819,0.388427734375,0.0568206310272216,2025-12-24
2550_225_000,trestle,19,26,494,494.0,18.550018000000023,25.809002,9.020166,21426,14941,0.3719940185546875,0.0501213073730468,2025-09-24
2550_233_000,trestle,19,21,399,399.0,19.351837000000003,20.712002,9.047739,22896,15674,0.4202117919921875,0.0524628162384033,2025-09-24
2550_234_000,trestle,19,21,399,399.0,18.65019200000002,20.712002,9.040078,17201,12614,0.3004302978515625,0.0423505306243896,2025-09-24
2550_235_000,trestle,19,21,399,399.0,18.550018000000023,20.712002,9.02017,17056,12224,0.300445556640625,0.0409810543060302,2025-06-11
2550_66B,crane,52,12,624,624.0,52.00043500000001,12.391007999999998,10.997415999999998,22722,14965,0.4729461669921875,0.0566861629486084,2025-10-01
2550_67B,crane,52,12,624,624.0,52.19999700000001,12.39101,10.997484,22942,15333,0.476593017578125,0.0579490661621093,2025-10-01
2563_21D,crane,21,45,945,945.0,20.56984,44.977234,9.044652,44900,29725,1.06658935546875,0.1194691658020019,2025-10-01
2563_221_000,trestle,16,26,416,416.0,15.805142000000004,25.806132,9.045743,24937,16296,0.5744171142578125,0.067018985748291,2025-06-11
2563_222_000,trestle,21,18,378,378.0,20.50629500000001,18.489008,9.009566,17754,12567,0.451080322265625,0.0526568889617919,2025-06-11
2563_223_000,trestle,19,26,494,494.0,19.351806,25.809002,8.985999,31253,20871,0.59930419921875,0.0813729763031005,2025-10-29
2563_225_000,trestle,19,26,494,494.0,18.5634,25.809002,9.047393,21782,15361,0.4347076416015625,0.0600311756134033,2025-10-29
2563_229_000,trestle,15,26,390,390.0,15.172744999999992,25.806,9.040675,26559,17090,0.5730133056640625,0.0715649127960205,2025-08-27
2563_22D,crane,18,36,648,648.0,18.40396099999998,36.369362,9.034428,38079,22994,0.86480712890625,0.0977354049682617,2025-12-10
2563_231_000,trestle,16,21,336,336.0,15.932903999999994,20.708807,9.045794,17286,11731,0.434600830078125,0.0510060787200927,2025-08-27
2563_232_000,trestle,21,18,378,378.0,20.50629500000001,18.489002,9.008262,17900,12582,0.4435272216796875,0.0629456043243408,2025-06-25
2563_233_000,trestle,19,21,399,399.0,19.351806,20.712002,8.986002,24219,16621,0.4858245849609375,0.0656044483184814,2025-06-25
2563_235_000,trestle,19,21,399,399.0,18.5634,20.712002,9.047396,16387,12089,0.347259521484375,0.0473544597625732,2025-06-25
2563_239_000,trestle,15,21,315,315.0,15.158843999999988,20.709,9.039772,20442,13549,0.473480224609375,0.0548291206359863,2025-06-18
2567_21D,crane,21,45,945,945.0,20.556992000000008,44.99606,9.043588,44157,29733,1.0062103271484375,0.115211009979248,2025-12-10
2567_223_000,trestle,19,26,494,494.0,19.353484999999992,25.806002,9.032418,29729,19832,0.52587890625,0.0720794200897216,2025-06-18
2567_224_000,trestle,19,26,494,494.0,18.65053499999999,25.806002,9.033479000000002,20061,14464,0.4017486572265625,0.0562136173248291,2025-06-18
2567_225_000,trestle,19,26,494,494.0,18.550186000000025,25.809002,9.033856,21681,15048,0.3783416748046875,0.0546896457672119,2025-12-10
2567_228_000,trestle,18,26,468,468.0,18.404526000000004,25.808002,8.969899,26385,18049,0.5381011962890625,0.0719759464263916,2025-12-10
2567_22D,crane,18,36,648,648.0,18.355880999999982,36.369362,9.039796,36430,22259,0.8118896484375,0.0939290523529052,2025-12-24
2567_233_000,trestle,19,21,399,399.0,19.353484999999992,20.709002,9.032422,23152,15750,0.4187164306640625,0.0557191371917724,2025-08-13
2567_234_000,trestle,19,21,399,399.0,18.500809000000004,20.709002,9.033484,14918,10756,0.3137664794921875,0.0422606468200683,2025-08-13
2567_235_000,trestle,19,21,399,399.0,18.550522,20.712002,9.033922,17281,12315,0.3045501708984375,0.0409948825836181,2025-08-13
2567_238_000,trestle,18,21,378,378.0,18.404526000000004,20.711002,8.958817999999999,21247,14601,0.448944091796875,0.0582861900329589,2025-11-19
2572_91A,crane,22,39,858,858.0,22.375101,38.643636,24.736826,59703,31002,1.1148223876953125,0.1179962158203125,2025-12-24
3306_20A,crane,21,21,441,441.0,21.250021,20.800079,11.572013,73451,46272,1.21185302734375,0.1700167655944824,2025-10-08
3306_25A,crane,53,10,530,530.0,52.85000599999999,9.800987000000005,11.695,80108,55231,1.3574676513671875,0.208961009979248,2025-10-08
3307_11B,crane,25,21,525,525.0,24.988833,20.500003,5.550003,36150,21057,0.56005859375,0.0702219009399414,2025-11-19
3307_12B,crane,25,18,450,450.0,24.931775,17.789999,5.697323,32276,19388,0.542633056640625,0.0672831535339355,2025-11-19
3307_13B,crane,25,18,450,450.0,24.931587,17.790001,5.680356000000001,32799,19368,0.5606689453125,0.0676577091217041,2025-12-17
3307_20A,crane,21,21,441,441.0,21.250006000000003,20.800079,6.122002,35171,21392,0.541259765625,0.0764212608337402,2025-12-17
3307_24A,crane,33,12,396,396.0,32.850044,11.772001,11.68,62535,40999,0.8879241943359375,0.1431992053985595,2025-12-17
3307_25A,crane,53,10,530,530.0,52.667382,9.800003,9.658958,55022,34924,0.82879638671875,0.1316215991973877,2025-11-05
3307_81D,crane,30,18,540,540.0,29.879356,18.5,3.598187,37183,20016,0.601348876953125,0.0759310722351074,2025-11-05
3307_82D,crane,30,20,600,600.0,29.553009000000017,19.75605,3.6409470000000006,35562,19130,0.5923919677734375,0.0768017768859863,2025-09-03
3307_83D,crane,30,20,600,600.0,29.607910000000004,19.756699,3.6409470000000006,30700,16792,0.5297088623046875,0.0635757446289062,2025-09-03
4367_20H,crane,21,51,1071,1071.0,20.66494800000001,51.067002,31.819379,136987,90890,2.3616943359375,0.3187036514282226,2025-11-12
4373_20G,crane,17,61,1037,1037.0,16.95060699999999,61.040006000000005,35.07327,149947,93074,2.44378662109375,0.3602023124694824,2025-11-12
4373_20H,crane,17,61,1037,1037.0,17.05008000000001,61.040052,35.073269999999994,138008,83383,2.216293334960937,0.3238124847412109,2025-09-10
4373_20J,crane,19,61,1159,1159.0,18.75045800000001,61.037475,35.073345,171685,105843,2.753753662109375,0.4071054458618164,2025-09-10
4373_20K,crane,17,61,1037,1037.0,16.886550999999997,61.036934,35.248314,132555,79412,2.118621826171875,0.3170387744903564,2025-09-10
4373_20L,crane,31,61,1891,1891.0,31.10257000000001,61.043259,21.320128,232924,146847,4.0738525390625,0.625767707824707,2025-12-31
4373_20N,crane,19,61,1159,1159.0,19.432923000000017,61.055004,35.067217,161173,97990,2.821273803710937,0.3927412033081054,2025-12-31
4374_148_000,trestle,15,6,90,90.0,15.201058000000003,6.408942,16.930206000000002,10928,6608,0.1882781982421875,0.0371632575988769,2025-11-19
4374_158_000,trestle,15,6,90,90.0,15.201130000000006,6.408940999999999,16.930209999999995,10856,6569,0.1859588623046875,0.0279500484466552,2025-11-19
4374_162_000,trestle,22,8,176,176.0,21.952886,8.322030999999999,5.426123999999998,8498,5062,0.177642822265625,0.0250318050384521,2025-07-09
4374_172_000,trestle,22,8,176,176.0,21.952872,8.322032999999998,5.389651999999998,8512,5088,0.174346923828125,0.0329077243804931,2025-07-09
4374_20G,crane,17,61,1037,1037.0,16.950699000000014,61.040006000000005,35.07327,150599,93226,2.425689697265625,0.3480942249298095,2025-12-31
4374_20H,crane,17,61,1037,1037.0,17.05008000000001,61.040052,35.073269999999994,139938,84153,2.256072998046875,0.3319461345672607,2025-10-15
4374_20J,crane,19,61,1159,1159.0,18.750350999999995,61.037475,35.073307,171807,105841,2.757232666015625,0.4120361804962158,2025-10-15
4374_20K,crane,17,61,1037,1037.0,16.886550999999997,61.036934,35.067219,134322,80236,2.1480255126953125,0.3162214756011963,2025-10-15
4374_20L,crane,31,61,1891,1891.0,31.10257000000001,61.043259,21.320128,232794,146581,4.052398681640625,0.6287500858306885,2025-10-22
4374_20N,crane,19,61,1159,1159.0,19.432923000000017,61.055004,35.065345,103413,63424,1.91351318359375,0.2553167343139648,2025-10-22
4374_20Y,crane,102,61,6222,6222.0,102.345322,61.040231000000006,35.068854,686715,427059,11.2542724609375,3.083401918411255,2025-10-22
4374_643_000,trestle,17,6,102,102.0,16.62307800000002,6.257501999999999,14.34372,13187,8070,0.24310302734375,0.0386996269226074,2025-06-04
4374_645_000,trestle,21,3,63,63.0,20.701354999999975,3.395581,11.744248000000002,6787,4254,0.1224212646484375,0.0246920585632324,2025-06-04
4374_653_000,trestle,17,6,102,102.0,16.62307800000002,6.257501000000001,14.343723000000004,13300,8031,0.241119384765625,0.0330390930175781,2025-06-04
4374_655_000,trestle,21,3,63,63.0,20.701354999999975,3.395579999999999,11.744196,6694,4136,0.1215667724609375,0.0315415859222412,2025-07-30
4374_666_000,trestle,22,13,286,286.0,21.814880000000016,13.375982,5.297979999999999,14174,8691,0.297637939453125,0.0371873378753662,2025-07-30
4374_676_000,trestle,22,13,286,286.0,21.814697000000024,13.375982,5.297980000000003,14160,8656,0.2924652099609375,0.033421516418457,2025-10-08
4375_148_000,trestle,15,6,90,90.0,15.201058000000003,6.408942,16.930206000000002,10959,6614,0.1892242431640625,0.0305500030517578,2025-10-08
4375_158_000,trestle,15,6,90,90.0,15.201130000000006,6.408940999999999,16.930209999999995,10875,6558,0.1853485107421875,0.0277049541473388,2025-10-08
4375_161_000,trestle,22,19,418,418.0,21.974331000000003,19.032632,9.452476,23549,14249,0.5009002685546875,0.0572483539581298,2025-09-10
4375_162_000,trestle,22,8,176,176.0,21.952886,8.322021,5.426123999999998,8410,5063,0.176666259765625,0.0240149497985839,2025-09-10
4375_166_000,trestle,15,18,270,270.0,15.20295,17.544401999999998,6.079345,12343,7340,0.214141845703125,0.0319316387176513,2025-07-23
4375_171_000,trestle,22,19,418,418.0,21.968631,19.031279,9.452477,21901,13562,0.4694366455078125,0.0539417266845703,2025-07-23
4375_172_000,trestle,22,8,176,176.0,21.952872,8.322022999999998,5.389651999999998,8501,5071,0.174072265625,0.0262713432312011,2025-09-03
4375_176_000,trestle,15,15,225,225.0,15.202843,15.299053,6.079891,12088,7326,0.212921142578125,0.028874397277832,2025-09-03
4375_20G,crane,17,61,1037,1037.0,16.950592,61.040006000000005,35.07327,121826,77466,1.976318359375,0.292168378829956,2025-08-27
4375_20H,crane,17,61,1037,1037.0,17.05008000000001,61.040052,35.073269999999994,81065,53921,1.4453277587890625,0.2057688236236572,2025-08-27
4375_20J,crane,19,61,1159,1159.0,18.750350999999995,61.037475,35.073307,143675,90193,2.3379669189453125,0.3407642841339111,2025-09-17
4375_20K,crane,17,61,1037,1037.0,16.886550999999997,61.036934,35.067219,99771,62481,1.6891632080078125,0.2416958808898925,2025-09-17
4375_20L,crane,31,61,1891,1891.0,31.10257000000001,61.043003,20.825367,164234,103958,2.962188720703125,0.4285645484924316,2025-09-17
4375_20N,crane,19,61,1159,1159.0,19.432923000000017,61.055004,35.065345,122442,74302,2.22442626953125,0.2965919971466064,2025-12-03
4375_20Y,crane,62,61,3782,3782.0,61.96635499999999,61.040004,35.069977,83638,50332,1.3408355712890625,0.189293622970581,2025-12-03
4375_245_000,trestle,21,20,420,420.0,20.83990399999999,20.133731,5.266019,23327,15503,0.5185546875,0.0635716915130615,2025-09-03
4375_255_000,trestle,21,20,420,420.0,20.73523,20.133731,5.266021,22844,15286,0.5140533447265625,0.0607280731201171,2025-12-31
4375_285_000,trestle,21,9,189,189.0,20.944213999999988,8.782453,5.273131,9577,5885,0.204071044921875,0.0279834270477294,2025-12-31
4375_287_000,trestle,22,20,440,440.0,21.970245000000038,20.247591,5.292964,12145,7006,0.2415313720703125,0.0326974391937255,2025-12-17
4375_295_000,trestle,21,9,189,189.0,20.944213999999988,8.782356,5.2730950000000005,9561,5875,0.2043304443359375,0.0315310955047607,2025-12-17
4375_297_000,trestle,22,22,484,484.0,21.97128299999997,21.881127,5.296267,12598,7307,0.253692626953125,0.0340025424957275,2025-10-22
4375_642_000,trestle,15,4,60,60.0,15.00410499999998,3.605837999999999,14.337206000000002,9073,5432,0.16375732421875,0.0255086421966552,2025-10-22
4375_643_000,trestle,17,6,102,102.0,16.62307800000002,6.257501999999999,14.34372,13191,8078,0.2432403564453125,0.0350914001464843,2025-10-22
4375_646_000,trestle,22,8,176,176.0,21.804290999999974,8.432646000000002,9.172827000000002,12132,6985,0.2224273681640625,0.0317580699920654,2025-11-05
4375_647_000,trestle,22,13,286,286.0,21.817718000000013,13.48514,6.591868999999999,14592,8154,0.3067626953125,0.0379900932312011,2025-11-05
4375_652_000,trestle,15,4,60,60.0,15.00410499999998,3.6058309999999993,14.337208999999998,8904,5215,0.157470703125,0.0250875949859619,2025-07-16
4375_653_000,trestle,17,6,102,102.0,16.62307800000002,6.257501000000001,14.343723000000004,13290,8044,0.2420501708984375,0.0390393733978271,2025-07-16
